"B069","其他煤炭采选","B06","ALL,B,B06,B069","STD_GB_4754-2011","行业大小类","0","0",
"B0690","其他煤炭采选","B069","ALL,B,B06,B069,B0690","STD_GB_4754-2011","行业大小类","0","0",
"B07","石油和天然气开采业","B","ALL,B,B07","STD_GB_4754-2011","行业大小类","0","0",
"B071","石油开采","B07","ALL,B,B07,B071","STD_GB_4754-2011","行业大小类","0","0",
"B0710","石油开采","B071","ALL,B,B07,B071,B0710","STD_GB_4754-2011","行业大小类","0","0",
"B072","天然气开采","B07","ALL,B,B07,B072","STD_GB_4754-2011","行业大小类","0","0",
"B0720","天然气开采","B072","ALL,B,B07,B072,B0720","STD_GB_4754-2011","行业大小类","0","0",
"B08","黑色金属矿采选业","B","ALL,B,B08","STD_GB_4754-2011","行业大小类","0","0",
"B081","铁矿采选","B08","ALL,B,B08,B081","STD_GB_4754-2011","行业大小类","0","0",
"B0810","铁矿采选","B081","ALL,B,B08,B081,B0810","STD_GB_4754-2011","行业大小类","0","0",
"B082","锰矿、铬矿采选","B08","ALL,B,B08,B082","STD_GB_4754-2011","行业大小类","0","0",
"B0820","锰矿、铬矿采选","B082","ALL,B,B08,B082,B0820","STD_GB_4754-2011","行业大小类","0","0",
"B089","其他黑色金属矿采选","B08","ALL,B,B08,B089","STD_GB_4754-2011","行业大小类","0","0",
"B0890","其他黑色金属矿采选","B089","ALL,B,B08,B089,B0890","STD_GB_4754-2011","行业大小类","0","0",
"B09","有色金属矿采选业","B","ALL,B,B09","STD_GB_4754-2011","行业大小类","0","0",
"B091","常用有色金属矿采选","B09","ALL,B,B09,B091","STD_GB_4754-2011","行业大小类","0","0",
"B0911","铜矿采选","B091","ALL,B,B09,B091,B0911","STD_GB_4754-2011","行业大小类","0","0",
"B0912","铅锌矿采选","B091","ALL,B,B09,B091,B0912","STD_GB_4754-2011","行业大小类","0","0",
"B0913","镍钴矿采选","B091","ALL,B,B09,B091,B0913","STD_GB_4754-2011","行业大小类","0","0",
"B0914","锡矿采选","B091","ALL,B,B09,B091,B0914","STD_GB_4754-2011","行业大小类","0","0",
"B0915","锑矿采选","B091","ALL,B,B09,B091,B0915","STD_GB_4754-2011","行业大小类","0","0",
"B0916","铝矿采选","B091","ALL,B,B09,B091,B0916","STD_GB_4754-2011","行业大小类","0","0",
"B0917","镁矿采选","B091","ALL,B,B09,B091,B0917","STD_GB_4754-2011","行业大小类","0","0",
"B0919","其他常用有色金属矿采选","B091","ALL,B,B09,B091,B0919","STD_GB_4754-2011","行业大小类","0","0",
"B092","贵金属矿采选","B09","ALL,B,B09,B092","STD_GB_4754-2011","行业大小类","0","0",
"B0921","金矿采选","B092","ALL,B,B09,B092,B0921","STD_GB_4754-2011","行业大小类","0","0",
"B0922","银矿采选","B092","ALL,B,B09,B092,B0922","STD_GB_4754-2011","行业大小类","0","0",
"B0929","其他贵金属矿采选","B092","ALL,B,B09,B092,B0929","STD_GB_4754-2011","行业大小类","0","0",
"B093","稀有稀土金属矿采选","B09","ALL,B,B09,B093","STD_GB_4754-2011","行业大小类","0","0",
"B0931","钨钼矿采选","B093","ALL,B,B09,B093,B0931","STD_GB_4754-2011","行业大小类","0","0",
"B0932","稀土金属矿采选","B093","ALL,B,B09,B093,B0932","STD_GB_4754-2011","行业大小类","0","0",
"B0933","放射性金属矿采选","B093","ALL,B,B09,B093,B0933","STD_GB_4754-2011","行业大小类","0","0",
"B0939","其他稀有金属矿采选","B093","ALL,B,B09,B093,B0939","STD_GB_4754-2011","行业大小类","0","0",
